No,SBSNCD,SBSNNM,BBSNCD,BBSNCD_Kor,MBSNCD,S1_connectivity_enhancement,S2_habitat_function,S3_hydrology_potential,S4_restoration_budget,Score_sum
269,500203,평림천,50,섬진강-영산강권역,5002,0,68.6,76,49.9,48.6
308,202107,단장천,20,낙동강권역,2021,0,65.5,82.1,46.9,48.6
371,300401,봉황천합류후,30,금강권역,3004,0,57.8,72.5,62.9,48.3
337,240201,축산천,24,낙동강권역,2402,0,70.1,81.9,40.9,48.2
344,300901,갑천상류,30,금강권역,3009,0,70,83.1,39.5,48.2
310,600101,한경면,60,제주권역,6001,0,78.6,72.3,41.1,48
270,301101,한천,30,금강권역,3011,0,61.4,75.7,54.3,47.9
217,201102,한천,20,낙동강권역,2011,0,66.9,84.9,39,47.7
278,201005,김천수위표,20,낙동강권역,2010,0,67.6,73.4,49,47.5
336,230201,효암천,23,낙동강권역,2302,0,67.7,77.4,44.8,47.5
432,240202,영덕오십천상류,24,낙동강권역,2402,0,45.7,43.5,99.6,47.2
378,200601,병성천상류,20,낙동강권역,2006,0,49.5,80.6,58.1,47.1
345,600402,구좌읍,60,제주권역,6004,0,70,66.4,51.3,46.9
234,110111,오산천,11,한강권역,1101,0,73.2,79.3,34.4,46.7
252,101012,춘천댐하류,10,한강권역,1010,0,76.5,75.8,33.9,46.6
291,130207,전천,13,한강권역,1302,0,70.1,74.2,42,46.6
363,300802,소옥천상류,30,금강권역,3008,0,68,68.9,49.5,46.6
281,600103,대정읍,60,제주권역,6001,0,78.6,76.3,31.1,46.5
297,201502,황강상류,20,낙동강권역,2015,0,82.4,71.1,32.5,46.5
301,301112,병천천하류,30,금강권역,3011,0,82.4,67.2,36,46.4
372,201805,임천,20,낙동강권역,2018,0,57.7,72.2,54.8,46.2
226,201006,아천,20,낙동강권역,2010,0,80.4,76.9,27.2,46.1
299,100714,복하천하류,10,한강권역,1007,0,62.2,75.3,46.5,46
338,120204,시화방조제,12,한강권역,1202,0,66.5,84,32.1,45.7
300,130107,양양남대천,13,한강권역,1301,0,62.2,75.3,44.4,45.5
327,200406,죽계천,20,낙동강권역,2004,0,45.4,75.1,61.3,45.5
258,110101,안성천상류,11,한강권역,1101,0,62.2,82.1,37.4,45.4
236,201406,차천,20,낙동강권역,2014,0,72.3,85.3,23.5,45.3
265,330105,전주천합류전,33,금강권역,3301,0,58.8,77.1,45.1,45.3
288,201007,율곡천,20,낙동강권역,2010,0,68.8,76.7,35.5,45.3
276,100702,죽산천,10,한강권역,1007,0,82.7,72.6,25.6,45.2
206,240102,남대천,24,낙동강권역,2401,0,76.1,78.8,24.6,44.9
374,100608,간현수위표,10,한강권역,1006,0,45.4,76.5,57.6,44.9
388,100212,문곡천,10,한강권역,1002,0,39.4,79.4,60.6,44.9
295,200306,광산천합류전,20,낙동강권역,2003,0,67.7,77.1,34.2,44.8
335,200402,내성천상류,20,낙동강권역,2004,0,53.7,89.4,36.2,44.8
237,250105,중선포천,25,낙동강권역,2501,0,78.9,78.4,21.4,44.7
365,100610,섬강하류,10,한강권역,1006,0,49.5,76.6,52.7,44.7
199,100414,달천하류,10,한강권역,1004,0,66.9,74.7,36.7,44.6
256,110104,청룡천,11,한강권역,1101,0,62.2,77.5,38.1,44.5
250,100713,복하천중류,10,한강권역,1007,0,87.7,83.2,6.8,44.4
266,600201,수산천,60,제주권역,6002,0,77.8,79.4,20.5,44.4
286,301205,공주보,30,금강권역,3012,0,87.7,58.1,31.6,44.4
228,530101,운산천,53,섬진강-영산강권역,5301,0,62.2,76.8,38.3,44.3
233,410403,순천동천,41,섬진강-영산강권역,4104,0,67.8,84.8,24.4,44.3
268,230103,회야강,23,낙동강권역,2301,0,65.2,79.1,33,44.3
207,520202,영암방조제,52,섬진강-영산강권역,5202,0,68.6,73,35.3,44.2
230,110105,입장천,11,한강권역,1101,0,66.9,77.7,32.3,44.2
293,301109,작천보,30,금강권역,3011,0,59.6,77,39.7,44.1
255,400504,요천하류,40,섬진강-영산강권역,4005,0,63.9,71.1,40.4,43.9
311,600401,조천읍,60,제주권역,6004,0,62.9,69.1,42.7,43.7
312,220103,사연댐,22,낙동강권역,2201,0,53,66.9,54.1,43.5
251,600405,종남천,60,제주권역,6004,0,78.3,72.1,23,43.4
229,100606,원주천,10,한강권역,1006,0,87.7,77.8,7.7,43.3
259,301104,백곡천,30,금강권역,3011,0,59.5,68.2,45.3,43.3
271,250107,죽천천,25,낙동강권역,2501,0,62.2,77.8,33.2,43.3
190,120206,남양방조제,12,한강권역,1202,0,65.2,81.2,26,43.1
